F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,file_name
27.203747,0.2836845,23.59186,27.542053,28.078829,4.486969,287.13187,210.43135,113.48349,90.02401,0.34458417,0.91564703,0.06702441,0.21936639,0.6148013,0.5477769,9.127587,5.900358,8.607252,4.908562,0.19158424,1.2043201,17.478912,0.83017015,1.1704544,9.161044,18.937862,0.7968901,0.4949215,18.941782,0.0685906,1.5821114,1.6984036,0.6911034,1.5846224,3.0332658,4.720427,2.4780087,20.069601,0.7474755,467.59915,0.4115704,1120.0585,0.206014,-113.23857,-0.852091,1562.9604,0.13269432,726.01685,0.5584436,-117.61516,-0.747699,2549.7712,0.07813265,842.30475,0.4370019,-115.71463,-0.7698292,-12.904509,-0.68260825,20.040474,0.48286176,0.07550756,0.26848644,-0.014865873,-0.64380044,0.37658808,0.55668896,26.129684,0.50489956,4.575972,2.6039913,26.15969,0.69209355,1.491921,7.907585,-2.5591502,9.455565,0.07211936,-0.0007466857,0.03462546,4.090909,1.8390805,0.24374999,0.2199396,0.24777777,0.28878203,-34.99417,perception_vocal_20241213_160127.wav
28.818773,0.10790205,26.04611,28.828337,30.79575,4.7496395,23.453796,14.948457,28.93634,20.958263,1.0114449,0.97943383,0.06963732,0.7752706,1.8434147,1.7737774,22.748924,13.882532,19.9777,10.052499,0.6947385,1.1796023,25.898674,0.52079725,-15.626569,-0.7463187,3.514557,2.9127169,-5.984508,-2.298656,0.026677476,1.2202407,1.461801,0.5938166,2.3287237,1.6513486,3.0101988,1.6958433,16.799608,0.3798871,667.065,0.3882213,1241.7935,0.1762072,-82.66665,-1.1721122,1673.9707,0.19910276,990.11584,0.25249204,-77.40794,-1.2133646,2689.353,0.09940377,921.42145,0.36642933,-82.355194,-1.0928738,-6.3224072,-0.6655769,16.960411,0.35539812,0.09551611,0.25649762,-0.010408297,-0.9376091,1.0997219,0.7427514,34.28049,0.26028183,-18.968525,-0.5897171,2.6422246,4.4298277,-12.089377,-1.0438961,-0.9052025,8.634724,0.07483695,0.0034220084,0.058918387,3.846154,1.4234875,0.42749998,0.15368393,0.202,0.24408193,-24.545408,perception_vocal_20241213_160135.wav
36.51992,0.124515004,33.64691,37.069687,40.535446,6.8885345,107.96662,54.83126,27.93813,11.257634,2.3012874,0.74787396,0.36679906,2.1835694,3.929842,3.5630429,48.505974,40.48155,26.640284,13.149453,2.0538943,0.9407998,18.616463,0.59468246,-14.428037,-1.1022443,5.853214,3.2521255,-16.915104,-0.96704835,0.024487153,1.2401317,1.0533409,0.7594501,5.015023,0.9767926,6.3581142,1.6960733,9.983048,0.9123666,530.6536,0.45834315,1206.7671,0.24943605,-57.83457,-1.4480435,1598.8159,0.16836141,806.6311,0.5385189,-43.565655,-1.563184,2617.2473,0.09681714,990.2339,0.47293296,-42.571598,-1.5929039,-5.395081,-1.0790676,13.754111,0.5324044,0.09203037,0.31832212,-0.01963971,-0.8883797,2.4692593,0.76431644,18.628654,0.6068837,-16.400347,-0.99936444,4.353721,4.678683,-20.655884,-0.7300134,-7.8766494,15.455722,0.07666697,-0.0064970576,0.15434064,3.0,1.3559322,0.60749996,0.24792892,0.11,0.1286468,-16.70436,perception_vocal_20241213_160108.wav
29.77598,0.32313308,26.897459,27.407932,29.17337,2.2759113,228.35352,198.05035,1250.457,1471.8215,0.29733455,0.8642856,0.090987414,0.17579241,0.50929964,0.41831222,6.328379,3.7390606,5.6939697,4.5307636,0.12550464,1.2476382,20.65981,0.7080234,-7.352149,-1.274689,15.361759,0.9933324,-2.2850716,-4.7292123,0.075450525,1.5105518,1.4903553,0.7372055,2.0967972,2.4628997,8.447695,1.3520586,18.709873,1.0520492,613.95605,0.43605655,1168.7518,0.30067912,-129.7981,-0.70331615,1663.0592,0.16909555,867.51,0.48639867,-126.72227,-0.68691975,2676.8374,0.10735807,901.15826,0.29252884,-126.85966,-0.6836627,-9.870855,-0.9945351,18.386887,0.6710661,0.07036572,0.33187494,-0.010365669,-0.9913523,0.24066268,0.61777866,27.5924,0.56044096,-2.9478076,-3.7429307,23.846256,0.70860636,-1.6476257,-7.34347,-2.4121423,10.387296,0.07714825,-0.00062007696,0.04950976,3.0534353,1.8087856,0.21285714,0.2292668,0.27375,0.36945692,-37.363625,perception_vocal_20241213_160120.wav
28.801641,0.08130671,26.03478,28.895922,31.181244,5.1464634,25.405859,11.229872,21.834799,6.5447335,0.90943116,1.0029349,0.07576101,0.61292,1.7833576,1.7075967,20.917294,10.631652,14.226364,7.4883375,0.5721863,1.1510043,24.770037,0.5528434,-10.29062,-1.4494594,10.518156,1.5737778,-2.0255678,-7.366564,0.014641958,0.9441153,1.2894131,0.560444,3.86359,0.9888305,9.046733,0.96102077,16.950644,0.35431287,662.81757,0.39760867,1237.4108,0.26529622,-91.21858,-1.0559881,1711.7867,0.19814898,952.7827,0.40984964,-91.76596,-1.0067955,2655.437,0.13706478,1013.9886,0.360816,-93.23535,-0.97217196,-6.690982,-0.8405468,17.37696,0.3552835,0.08928114,0.32182226,-0.013912912,-1.1141158,0.96687484,0.6523528,31.80845,0.41029394,-13.151187,-1.3213147,11.947758,1.5741538,-6.725981,-2.5355752,-3.7624035,12.472871,0.07135276,0.0025858174,0.07112209,4.391892,1.7182132,0.31599998,0.1451344,0.17,0.2174528,-25.094198,perception_vocal_20241213_160140.wav
34.604282,0.14530991,30.295149,36.052513,38.30151,8.006361,126.25855,132.81181,72.00222,64.47887,1.2290392,1.0791721,0.06687783,0.7909903,2.345374,2.2784963,32.131084,18.396048,28.011059,18.227282,0.9533251,1.1514183,18.988512,0.58542675,-6.4112277,-2.1417215,11.620992,1.5074301,-11.129277,-1.4928472,0.049329016,1.652535,1.1111232,0.56013626,5.262676,0.799745,9.839436,1.1494786,15.974706,0.5457424,652.9111,0.49640152,1151.3146,0.23178408,-100.206245,-0.95876086,1738.8442,0.18778084,803.5454,0.5334492,-89.71948,-0.98754746,2770.1018,0.10168751,899.17,0.28836122,-87.95471,-1.0194468,-10.18908,-0.77037925,16.775621,0.509444,0.10039006,0.28814057,-0.02447961,-0.6494494,1.5742295,0.64865535,21.873924,0.55781734,-5.3227887,-3.0908403,14.175219,1.4937129,-18.494698,-0.8371456,-1.4648342,9.003374,0.07280586,-0.0035684598,0.021858286,2.6865673,0.6060606,1.0,0.89,0.62,0.35999998,-21.471071,perception_vocal_20241213_160114.wav
